No.	NAME	MDEC-11	MDEC-12	MDEC-13	MDEC-14	MDEC-22	MDEC-23	MDEC-24	MDEC-33	MDEC-44	MDEO-11	MDEO-12	MDEO-22	MDEN-11	MDEN-12	MDEN-13	MDEN-22	MDEN-23	MDEN-33
46	50272610	0	1.7392	1.245	0	28.4265	35.4549	0	10.156	0	0	0.5	0	0	0.2673	0.378	0.0714	0.6012	0.3333
47	50272685	0	0	0	0	31.0965	31.8357	0	8.0074	0	0	0	0	0	0.2673	0.378	0.0714	0.6012	0.3333
48	50272735	0	1.9512	1.1176	0	28.4265	33.4225	0	8.9227	0	0	0	0	0	0.2673	0.378	0.0714	0.6012	0.3333
49	50272736	0	2.2425	1.3403	0	28.4265	33.4225	0	8.9227	0	0	0	0	0	0.2673	0.378	0.0714	0.6012	0.3333
50	8961	0	0	0	0	8.9162	14.5631	0	6.0836	0	0	0	0	0	0.25	0	0	0	0
51	50199522	0.1667	3.3411	3.2245	0.6667	4.6913	14.976	2.7495	5.7283	0	0	0	0	0	0.25	0	0	0	0
52	50272628	0	0	0	0	27.0548	36.1726	0	10.5981	0	0	0	0	0.0556	0.4591	0.471	0.0769	0.6714	0.3333
53	50272629	0	0	0	0	26.8538	35.2598	0	9.883	0	0	0	0	0.0526	0.445	0.437	0.0714	0.6012	0.3333
54	50272630	0	0	0	0	26.8538	35.4345	0	10.0027	0	0	0	0	0.0556	0.4458	0.471	0.0667	0.5499	0.3333
55	50272631	0	0	0	0	27.0548	36.366	0	10.7555	0	0	0	0	0.0588	0.4601	0.515	0.0714	0.6012	0.3333
56	50272632	0	0	0	0	28.4099	33.3699	0	8.9227	0	0	0	0	0.0588	0.4601	0.515	0.0714	0.6012	0.3333
57	50272633	0	0	0	0	32.9363	36.0475	0	8.9227	0	0	0	0	0.0588	0.4601	0.515	0.0714	0.6012	0.3333
58	50272680	0	2.1545	1.8428	0	30.5215	36.9775	0	10.6019	0	0	0	0	0	0.2497	0.1754	0.3253	0.9733	0.3333
59	50272681	0	0	0	0	26.1308	34.5938	0	9.8138	0	0	0	0	0.0667	0.4934	0.5677	0.0833	0.6914	0.3333
60	50272682	0	0	0	0	28.3198	34.6742	0	9.3374	0	0	0	0	0.0625	0.4759	0.5394	0.0769	0.6415	0.3333
61	50272610	0	1.7392	1.245	0	28.4265	35.4549	0	10.156	0	0	0.5	0	0	0.2673	0.378	0.0714	0.6012	0.3333
62	50272735	0	1.9512	1.1176	0	28.4265	33.4225	0	8.9227	0	0	0	0	0	0.2673	0.378	0.0714	0.6012	0.3333
63	50272736	0	2.2425	1.3403	0	28.4265	33.4225	0	8.9227	0	0	0	0	0	0.2673	0.378	0.0714	0.6012	0.3333
64	8961	0	0	0	0	8.9162	14.5631	0	6.0836	0	0	0	0	0	0.25	0	0	0	0
65	50199522	0.1667	3.3411	3.2245	0.6667	4.6913	14.976	2.7495	5.7283	0	0	0	0	0	0.25	0	0	0	0
