No.	NAME	MW	AMW	Sp	Mv	Mp	Mi	GD	nTA	nBM	RBN	RBF	nDB	nTB	nN	nO	nS	nCL	nBR	nI	nHM	nHet	nX	C%	N%	O%	X%	nCsp3	nCsp2	nCsp	Fsp3	max_conj_path	nStructures	totalcharge
154	50248636	337.45	7.0302	31.7446	0.6242	0.6613	1.1186	0.09	5	14	5	0.1	2	0	1	3	0	0	0	0	0	4	0	43.75	2.0833	6.25	0	6	15	0	0.2857	16	1	0
155	50169853	369.5	6.8426	34.7219	0.6061	0.643	1.1247	0.0826	5	13	8	0.1429	1	0	1	4	0	0	0	0	0	5	0	40.7407	1.8519	7.4074	0	9	13	0	0.4091	8	1	0
156	50169858	383.48	7.2355	34.415	0.6211	0.6493	1.1232	0.082	3	13	6	0.1071	1	0	1	5	0	0	0	0	0	6	0	41.5094	1.8868	9.434	0	9	13	0	0.4091	8	1	0
157	50248715	365.51	6.7687	35.2674	0.6114	0.6531	1.1208	0.0826	5	14	7	0.125	2	0	1	3	0	0	0	0	0	4	0	42.5926	1.8519	5.5556	0	8	15	0	0.3478	16	1	0
158	50169873	381.51	6.9365	35.7219	0.6133	0.6495	1.1224	0.082	4	13	6	0.1034	1	0	1	4	0	0	0	0	0	5	0	41.8182	1.8182	7.2727	0	10	13	0	0.4348	8	1	0
159	50169856	410.56	6.8427	38.489	0.6046	0.6415	1.1274	0.0759	5	13	6	0.0952	1	0	2	4	0	0	0	0	0	6	0	40	3.3333	6.6667	0	11	13	0	0.4583	8	1	0
160	50490884	379.65	5.8408	40.9609	0.5695	0.6302	1.1316	0.082	0	11	9	0.1324	0	0	3	0	0	0	0	0	0	3	0	38.4615	4.6154	0	0	16	9	0	0.64	10	1	0
161	50490937	537.72	7.1696	49.813	0.6287	0.6642	1.1246	0.0564	5	22	7	0.0886	5	0	5	3	0	0	0	0	0	8	0	42.6667	6.6667	4	0	10	22	0	0.3125	16	1	0
162	50490938	522.1	7.5667	45.9095	0.6298	0.6654	1.1286	0.0601	6	17	7	0.0972	5	0	5	3	0	1	0	0	1	9	1	40.5797	7.2464	4.3478	1.4493	10	18	0	0.3571	12	1	0
163	50490939	566.55	8.2109	46.4039	0.6326	0.6725	1.1272	0.0601	6	17	7	0.0972	5	0	5	3	0	0	1	0	1	9	1	40.5797	7.2464	4.3478	1.4493	10	18	0	0.3571	12	1	0
