No.	NAME	AAC	IDDE	IDMT	IVDE	Ges	rGes	S0K	Uindex	Xindex	Yindex	BertzCT	IC1	IC2	IC3	IC5	CIC1	CIC2	CIC4	BIC0	BIC2	BIC3	BIC4
3886	50289099	1.4475	3.1556	2686.864	1.1982	16	1	64	21.663	0.4573	0.9635	429.2135	3.1063	4.1069	4.5671	4.5671	1.8479	0.8472	0.3871	0.2779	0.7884	0.8767	0.8767
3887	50289102	1.3209	2.5654	1361.0965	0.8905	13	1	48.1057	16.43	0.4993	1.0897	358.2866	3.0439	3.9239	4.2439	4.3239	1.6	0.72	0.32	0.2666	0.792	0.8566	0.8728
3888	50362874	1.4713	4.7414	33616.9832	1.4338	31	0.9394	162.465	54.8804	0.2474	0.3873	1017.2825	3.1978	4.5185	5.0836	5.3298	2.8245	1.5038	0.7849	0.2355	0.7232	0.8136	0.8383
3889	50366605	1.3324	4.3372	39400.8334	1.0119	33	0.9706	170.9737	50.6729	0.1988	0.2955	1020.7308	3.3028	4.4744	5.4058	5.781	2.8671	1.6955	0.4444	0.2082	0.699	0.8445	0.8945
3890	50366607	1.3572	4.2653	30757.4362	1.0426	32	1	160	46.1874	0.2153	0.3333	989.1265	3.4267	4.5964	5.4458	5.6808	2.6177	1.448	0.3636	0.2156	0.7302	0.8651	0.9025
3891	50366606	1.3707	4.3492	26954.6733	1.0585	31	1	153.5801	43.9998	0.2251	0.3573	973.366	3.492	4.6236	5.3819	5.6281	2.4853	1.3537	0.3492	0.2197	0.7411	0.8627	0.9022
3892	50080160	1.321	4.4791	44270.5623	0.9971	34	0.9714	177.5249	52.9716	0.1918	0.2803	1036.5747	3.2446	4.4061	5.3554	5.7755	2.9843	1.8227	0.5333	0.2048	0.683	0.8301	0.8829
3893	50080162	1.3103	4.4267	49525.0875	0.9827	35	0.9722	184.1173	55.3081	0.1854	0.267	1052.4465	3.1888	4.3369	5.292	5.8239	3.0966	1.9485	0.6091	0.2016	0.6672	0.8142	0.8733
3894	8961	1.2922	3.1069	2131.1359	1.231	15	1	58.6034	19.7871	0.4818	1.0613	458.9276	3.2718	3.8235	4.3063	4.5132	1.5862	1.0345	0.3448	0.249	0.7367	0.8297	0.8696
3895	50366608	1.3444	4.332	34901.3109	1.0271	31	0.9394	162.465	48.4116	0.2066	0.313	1004.9148	3.3636	4.5395	5.42	5.7317	2.7449	1.5691	0.4348	0.2118	0.715	0.8537	0.8937
3896	50080164	1.2814	4.67	67743.9293	0.9415	39	1	206.1307	62.5482	0.1696	0.2358	1100.2291	3.0354	4.1341	5.0749	5.7303	3.4075	2.3089	0.9542	0.1931	0.6229	0.7647	0.827
3897	50368268	1.459	3.5033	45667.3536	1.6158	13	0.3611	130.1173	62.7005	0.2354	0.3638	931.9109	2.9769	3.8714	3.9795	4.0876	3.2325	2.3381	2.1219	0.2276	0.604	0.6209	0.6377
3898	50368269	1.3437	3.7216	54409.3888	1.5738	16	0.4211	149.4212	68.1963	0.2308	0.3543	968.7388	2.8812	4.0823	4.404	4.4992	3.5111	2.31	1.8931	0.2045	0.6214	0.6703	0.6848
3899	50313079	1.5991	3.5466	1592.653	1.5766	9	0.6923	40.1057	24.8699	0.6675	1.2882	300.7366	2.9587	3.3724	3.8441	3.8441	1.7417	1.3281	0.8563	0.3259	0.6873	0.7834	0.7834
3900	50368270	1.2416	3.7216	54409.3888	1.5738	14	0.3684	141.4212	68.1963	0.2308	0.3543	949.765	2.6447	3.6984	4.0726	4.2888	3.8147	2.761	2.1707	0.1873	0.5579	0.6143	0.6469
3901	50004000	1.5137	4.0219	5586.9688	1.7763	20	1	86.4386	29.8747	0.4312	0.8669	549.3219	3.3148	4.3322	4.7961	4.7961	2.0427	1.0253	0.5615	0.2725	0.7799	0.8634	0.8634
3902	50368271	1.432	3.7216	54409.3888	1.5738	14	0.3684	141.4212	68.1963	0.2308	0.3543	962.0223	2.9848	4.0342	4.1342	4.2342	3.3372	2.2877	2.0877	0.22	0.6199	0.6353	0.6506
3903	50368272	1.432	3.7216	54409.3888	1.5738	16	0.4211	149.4212	68.1963	0.2308	0.3543	974.0223	3.0348	4.2342	4.3342	4.4342	3.2872	2.0877	1.8877	0.22	0.6506	0.666	0.6814
3904	50012004	1.3743	3.9737	13637.6166	1.4293	18	0.72	102.0964	42.0021	0.3242	0.5389	666.6528	2.9803	3.9802	4.3827	4.6624	2.6922	1.6922	1.01	0.2327	0.6738	0.742	0.7893
3905	50020514	1.6922	3.2516	1183.7227	1.5	12	1	43.0196	21.7641	0.7237	1.5606	234.806	2.9508	3.8554	3.9387	4.0221	1.6341	0.7296	0.5629	0.3539	0.8063	0.8238	0.8412
3906	50020515	1.5394	4.0049	8840.9782	1.2407	19	0.8636	92.1075	34.6154	0.3453	0.5896	690.6926	3.2542	4.224	4.6653	5.0531	2.0678	1.0979	0.3689	0.2714	0.7447	0.8225	0.8732
