No.	NAME	Ui	Hy	TPSA(Tot)	MLOGP	MLOGP2	ALOGP2	LOGPcons	ESOL	PDI	SAscore
1695	50038382	3.5236	0.9527	122.64	4.3057	18.5392	16.032	4.0397	-5.1572	1.0344	4.6632
1696	50038383	3.2479	0.9361	76.82	4.5992	21.1524	18.6201	4.1438	-5.1854	1.0606	4.7633
1697	50038384	3.2479	0.9361	76.82	4.5992	21.1524	18.6201	4.1438	-5.1854	1.0606	4.7281
1698	50038385	3.2479	0.898	76.82	4.4421	19.7325	21.1214	4.2415	-5.2295	1.0506	4.9927
1699	50135146	2.585	-0.4646	49.41	4.0919	16.7436	24.3246	4.6965	-5.5457	0.9118	4.6858
1700	50135149	2.585	0.0705	78.87	4.3785	19.1714	21.602	4.6442	-5.8871	0.8928	4.8358
1701	50135147	2.8074	-0.4795	49.41	4.6656	21.768	25.903	5.1511	-6.0736	0.9304	4.6865
1702	50135148	2	-0.9043	23.55	5.6545	31.9729	45.5409	6.4492	-6.8429	0.8976	4.6866
1703	50135154	2	0.0933	78.87	3.9088	15.2786	20.5191	4.3325	-5.4776	0.8711	4.8116
1704	50135157	2	-0.458	58.64	4.6807	21.9093	30.2137	5.2551	-6.022	0.8905	4.7091
1705	50135156	2.3219	0.0933	78.87	3.8184	14.5803	18.3167	4.1924	-5.3683	0.8769	4.878
1706	50135158	2.3219	-0.4646	49.41	4.1778	17.4541	26.8531	4.8351	-5.654	0.9044	4.6219
1707	50135153	1.585	-0.9043	23.55	5.7512	33.0762	48.0374	6.5689	-6.9381	0.8914	4.6276
1708	50135159	2.585	-0.9097	23.55	5.8514	34.2391	46.3584	6.5986	-7.1431	0.9203	4.6649
1709	50135160	2.3219	0.0841	52.57	4.1778	17.4541	22.5872	4.5959	-5.488	0.8906	4.7423
1710	50135150	1	-0.4645	32.34	4.6763	21.8682	17.1454	4.639	-5.3058	0.8967	4.4441
1711	50053442	3.5236	-0.7852	61.94	3.5482	12.5899	9.1089	3.4663	-4.5054	1.0274	3.7813
1712	50053441	2.585	-0.7816	47.36	2.7455	7.5377	5.7241	2.7863	-3.5493	0.9901	3.4459
1713	50053445	2.585	-0.7904	47.36	2.973	8.8386	8.1151	3.1443	-3.878	0.9848	3.436
1714	50053446	2.585	-0.7721	47.36	2.5131	6.3159	3.7493	2.4268	-3.2198	0.9961	3.4869
1715	50053440	2.585	-0.7721	47.36	2.5131	6.3159	4.7215	2.5876	-3.1435	0.9552	3.4787
1716	50053447	3.1699	-0.8129	47.36	3.3898	11.4905	9.8188	3.4389	-4.3595	1.0229	3.7703
1717	50053448	3.0875	-0.7292	61.94	2.1533	4.6367	1.1627	1.9545	-2.9578	1.0085	3.6542
1718	50053439	2.585	-0.7904	47.36	2.973	8.8386	8.1151	3.1443	-3.878	0.9848	3.3475
1719	50053449	2.585	-0.7984	47.36	3.196	10.2143	10.9224	3.5007	-4.206	0.9801	3.3439
1720	50053450	2.585	-0.7816	47.36	2.7455	7.5377	5.7241	2.7863	-3.5493	0.9901	3.3765
1721	50053438	2.585	-0.7816	47.36	2.7455	7.5377	6.9122	2.9472	-3.473	0.952	3.3687
1722	50053451	3.1699	-0.8193	47.36	3.6009	12.9664	12.8859	3.7914	-4.6826	1.0163	3.6819
1723	50053452	3.0875	-0.7405	61.94	2.3909	5.7163	2.3547	2.3158	-3.285	1.0013	3.5366
1724	50053437	2.585	-0.7984	47.36	3.196	10.2143	10.9224	3.5007	-4.206	0.9801	3.3439
1725	50053453	2.585	-0.8059	47.36	3.4148	11.6606	14.1459	3.8557	-4.5332	0.9758	3.3426
1726	50053454	2.585	-0.7904	47.36	2.973	8.8386	8.1151	3.1443	-3.878	0.9848	3.3686
1727	50053436	2.585	-0.7904	47.36	2.973	8.8386	9.5191	3.3051	-3.8018	0.9491	3.3611
1728	50053532	3.1699	-0.8254	47.36	3.8085	14.505	16.3693	4.1427	-5.0052	1.0104	3.6749
1729	50053567	3.0875	-0.7509	61.94	2.6232	6.8813	3.9629	2.6753	-3.6116	0.995	3.5219
1730	50053568	2.585	-0.8254	47.36	4.0484	16.3895	27.5993	4.9545	-4.9397	0.9654	3.4254
1731	8961	2.7004	0.3658	38.91	2.2085	4.8776	7.7841	2.5648	-3.2817	1.0524	3.0294
1732	50053431	3.1699	-0.8059	47.36	3.4429	11.8537	9.6019	3.3802	-4.2407	1.0303	3.6404
1733	50053429	3.1699	-0.8059	47.36	3.4429	11.8537	11.1242	3.5411	-4.1645	0.9902	3.6335
1734	50053428	3.585	-0.8363	47.36	4.2601	18.1481	18.4548	4.3725	-5.3475	1.0507	3.8971
1735	50053427	3.5236	-0.7693	61.94	3.1146	9.7007	5.0207	2.9184	-3.9736	1.0437	3.7819
1736	50053425	3.1699	-0.8254	47.36	4.0765	16.6182	18.7688	4.2768	-5.0984	1.0104	3.677
1737	50053423	3.1699	-0.8129	47.36	3.6578	13.3792	11.6957	3.5731	-4.4526	1.0229	3.7192
1738	50053422	3.1699	-0.8129	47.36	3.6578	13.3792	13.37	3.7339	-4.3764	0.9854	3.7126
1739	50053421	3.585	-0.8413	47.36	4.4583	19.8766	21.3176	4.5598	-5.5551	1.0432	3.9635
1740	50053420	3.5236	-0.7775	61.94	3.3334	11.1115	6.5633	3.1126	-4.1838	1.035	3.8556
1741	50053419	3.1699	-0.8254	47.36	4.0765	16.6182	18.7688	4.2768	-5.0984	1.0104	3.6222
1742	50053569	3.1699	-0.831	47.36	4.2809	18.326	22.9297	4.6271	-5.4206	1.005	3.6192
1743	50053570	3.1699	-0.8193	47.36	3.8689	14.9683	15.0242	3.9255	-4.7757	1.0163	3.6498
1744	50053443	3.1699	-0.8193	47.36	3.8689	14.9683	16.9143	4.0864	-4.6995	0.9811	3.6434
1745	50053444	3.585	-0.846	47.36	4.6538	21.6577	25.7384	4.9071	-5.874	1.0364	3.9073
1746	50053442	3.5236	-0.7852	61.94	3.5482	12.5899	9.1089	3.4663	-4.5054	1.0274	3.7813
1747	50053441	2.585	-0.7816	47.36	2.7455	7.5377	5.7241	2.7863	-3.5493	0.9901	3.4459
1748	50053445	2.585	-0.7904	47.36	2.973	8.8386	8.1151	3.1443	-3.878	0.9848	3.436
1749	50053446	2.585	-0.7721	47.36	2.5131	6.3159	3.7493	2.4268	-3.2198	0.9961	3.4869
1750	50053440	2.585	-0.7721	47.36	2.5131	6.3159	4.7215	2.5876	-3.1435	0.9552	3.4787
1751	50053447	3.1699	-0.8129	47.36	3.3898	11.4905	9.8188	3.4389	-4.3595	1.0229	3.7703
1752	50053448	3.0875	-0.7292	61.94	2.1533	4.6367	1.1627	1.9545	-2.9578	1.0085	3.6542
1753	50053439	2.585	-0.7904	47.36	2.973	8.8386	8.1151	3.1443	-3.878	0.9848	3.3475
1754	50053449	2.585	-0.7984	47.36	3.196	10.2143	10.9224	3.5007	-4.206	0.9801	3.3439
1755	50053450	2.585	-0.7816	47.36	2.7455	7.5377	5.7241	2.7863	-3.5493	0.9901	3.3765
1756	50053438	2.585	-0.7816	47.36	2.7455	7.5377	6.9122	2.9472	-3.473	0.952	3.3687
