No.	NAME	SpDiam_EA(ed)	SpMAD_EA(ed)	SpDiam_EA(bo)	SpMAD_EA(bo)	SpMaxA_EA(dm)	SpAD_EA(dm)	SpMAD_EA(dm)	SpMAD_EA(ri)	SpMaxA_AEA(ed)	SpMAD_AEA(ed)	SpMax_AEA(bo)	SpMAD_AEA(bo)	SpMax_AEA(dm)	SpMAD_AEA(dm)	SpMAD_AEA(ri)	Chi0_EA(dm)	SM06_EA	SM06_EA(bo)	SM11_EA(bo)	SM02_EA(dm)	SM03_EA(dm)	SM04_EA(dm)	SM10_AEA(ed)	SM04_AEA(bo)	SM08_AEA(bo)	SM10_AEA(bo)	SM13_AEA(bo)	SM14_AEA(bo)	SM15_AEA(bo)	SM11_AEA(dm)	SM12_AEA(dm)	SM13_AEA(dm)	SM12_AEA(ri)	SM13_AEA(ri)	SM15_AEA(ri)	Eig06_EA(bo)	Eig02_EA(dm)	Eig03_EA(dm)	Eig04_EA(dm)	Eig05_EA(dm)	Eig06_EA(dm)	Eig07_EA(dm)	Eig08_EA(dm)	Eig09_EA(dm)	Eig10_EA(dm)	Eig11_EA(dm)	Eig12_EA(dm)	Eig13_EA(dm)	Eig14_EA(dm)	Eig15_EA(dm)	Eig09_EA(ri)	Eig05_AEA(ed)	Eig06_AEA(ed)	Eig07_AEA(ed)	Eig09_AEA(ed)	Eig12_AEA(ed)	Eig02_AEA(bo)	Eig03_AEA(bo)	Eig04_AEA(bo)	Eig11_AEA(bo)	Eig02_AEA(dm)	Eig03_AEA(dm)	Eig04_AEA(dm)	Eig05_AEA(dm)	Eig06_AEA(dm)	Eig07_AEA(dm)	Eig09_AEA(dm)	Eig11_AEA(dm)	Eig15_AEA(dm)	Eig03_AEA(ri)	Eig04_AEA(ri)	Eig13_AEA(ri)
6192	50460439	17.9575	4.0659	7.1726	1.7881	0.0365	7.7342	0.2667	1.3753	0.2317	1.5258	4.5267	1.4513	4.1672	1.551	1.4449	25.0788	7.8204	9.3227	15.8762	2.0415	0.325	1.8952	19.6215	7.2901	12.7662	2.7296	2.0323	1.8471	1.4464	8.8496	7.6364	6.616	3.4561	3.3824	2.4395	2.2444	0.9164	0.86	0.86	0.1724	0	0	0	0	0	0	0	0	0	0	1.0437	5.0179	4.9208	4.2672	3.4953	2.821	4.0114	3.9338	3.3908	1.8487	3.4293	3.1342	2.9871	2.4288	2.2093	2.1388	1.524	1.0188	0.1524	3.6199	3.1898	1.214
6193	50460440	17.957	3.9673	7.1726	1.7628	0.0341	7.7342	0.2495	1.3772	0.2168	1.5078	4.5267	1.4475	4.1672	1.5369	1.4424	23.4976	7.8196	9.3225	15.875	2.0415	0.325	1.8952	19.6007	7.3131	12.7631	2.7277	2.0633	1.8593	1.6727	8.8495	7.3917	6.6133	3.4547	3.3824	2.364	2.2566	0.9164	0.86	0.86	0.1724	0	0	0	0	0	0	0	0	0	0	1.2347	4.9232	4.8187	4.2693	3.5812	3.0951	4.0111	3.9269	3.3257	2.0839	3.4293	3.1342	2.9429	2.3677	2.2185	2.1629	1.571	1.0433	0.3575	3.5969	3.1194	1.2655
6194	8960	18.0211	4.2384	7.1727	1.7985	0.0412	8.1726	0.2636	1.4393	0.2169	1.5328	4.5282	1.4851	3.7934	1.5375	1.4757	24.3828	7.9284	9.3477	15.8814	2.1664	0.325	2.2483	19.6872	7.3676	12.825	2.7717	2.1236	1.9095	1.768	8.884	7.815	7.2801	3.4565	3.3849	2.5024	2.3088	0.9164	0.86	0.86	0.1724	0	0	0	0	0	0	0	0	0	0	1.2339	5.2355	4.9768	4.8453	3.5927	3.247	4.0194	3.9396	3.6109	2	3.184	3.0175	2.5805	2.5491	2.2827	2.1941	1.5108	1.0775	0.4001	3.6486	3.4502	1.2628
6195	50460448	17.9575	4.1213	7.1726	1.7716	0.0341	9.4542	0.305	1.3634	0.2168	1.546	4.5267	1.448	4.1672	1.5515	1.4433	27.9069	7.9363	9.4462	16.0599	2.2172	0.325	2.0474	19.7849	7.3701	12.8902	2.8756	2.0388	1.8481	1.5483	9.118	8.8496	6.7444	3.8051	3.3824	2.4614	2.2453	0.9164	0.86	0.86	0.86	0.1724	0	0	0	0	0	0	0	0	0	1.2739	5.2815	4.9223	4.3163	3.6248	2.8946	4.2058	4.0112	3.4355	1.8507	3.4293	3.188	3.1342	2.7297	2.2122	2.149	1.604	1.1096	0.5378	3.6684	3.3018	1.2861
6196	50460442	17.9575	4.2114	7.1726	1.7807	0.0331	9.3342	0.2917	1.3863	0.21	1.5627	4.5267	1.4698	4.1672	1.5616	1.4643	29.7636	8.006	9.474	16.1015	2.159	0.5698	1.9621	19.898	7.415	12.9413	2.9794	2.0451	1.8924	1.8431	9.8102	8.8496	6.9247	3.8575	3.3824	2.4853	2.2848	0.9164	0.86	0.86	0.8	0.1724	0	0	0	0	0	0	0	0	0	1.2751	5.3614	4.923	4.7766	3.7295	3.1324	4.2794	4.0112	3.4644	2.1547	3.4293	3.2265	3.1342	2.7848	2.2212	2.1855	1.6063	1.1133	0.5398	3.6686	3.354	1.3524
6197	50460447	17.9571	4.0262	7.1726	1.7756	0.0353	7.7342	0.2578	1.3759	0.224	1.5207	4.5267	1.4455	4.1672	1.5386	1.4443	25.0788	7.8284	9.3245	15.8762	2.0415	0.325	1.8952	19.6221	7.303	12.7693	2.728	2.0515	1.8527	1.4967	8.8495	7.6357	6.6136	3.4561	3.3824	2.442	2.2528	0.9164	0.86	0.86	0.1724	0	0	0	0	0	0	0	0	0	0	1.1715	5.0176	4.9228	4.2687	3.5631	2.9251	4.0111	3.9339	3.3839	1.9154	3.4293	3.1342	2.987	2.4254	2.2147	2.1554	1.5324	1.0253	0.3981	3.6222	3.1896	1.2416
6198	50460444	17.9571	4.1209	7.1726	1.7797	0.0341	9.4542	0.305	1.3721	0.2168	1.5399	4.5267	1.4574	4.1672	1.555	1.4522	26.3258	7.9212	9.4429	16.0589	2.2172	0.325	2.0474	19.7663	7.3676	12.882	2.8675	2.0513	1.8526	1.5631	9.0858	8.8495	6.6142	3.8046	3.3824	2.3877	2.2516	0.9164	0.86	0.86	0.86	0.1724	0	0	0	0	0	0	0	0	0	1.3199	5.0403	4.9227	4.2848	3.6427	2.9488	4.2038	4.0111	3.3519	1.9081	3.4293	3.1769	3.1342	2.6544	2.2161	2.1584	1.6221	1.2897	0.4588	3.6682	3.2147	1.2903
6199	50460449	17.9571	4.1682	7.1726	1.7683	0.0321	9.3342	0.2829	1.3855	0.2036	1.5545	4.5267	1.4653	4.1672	1.551	1.4618	29.7636	8.0127	9.4755	16.1015	2.159	0.5698	1.9621	19.8984	7.4264	12.944	2.9794	2.0578	1.8968	1.8501	9.8101	8.8495	6.9154	3.8575	3.3824	2.4917	2.2824	0.9164	0.86	0.86	0.8	0.1724	0	0	0	0	0	0	0	0	0	1.3656	5.3646	4.9231	4.7777	3.7359	3.2126	4.2794	4.0111	3.462	2.3294	3.4293	3.2265	3.1342	2.7842	2.2203	2.1824	1.6285	1.3378	0.6094	3.6682	3.3557	1.4274
6200	50460450	17.957	3.933	7.1726	1.744	0.0331	7.7342	0.2417	1.3693	0.21	1.5059	4.5267	1.4339	4.1672	1.5225	1.4335	25.0788	7.8442	9.328	15.8762	2.0415	0.325	1.8952	19.6232	7.3283	12.7756	2.7277	2.066	1.8603	1.6857	8.8495	7.6357	6.6133	3.4561	3.3824	2.443	2.2569	0.9164	0.86	0.86	0.1724	0	0	0	0	0	0	0	0	0	0	1.2463	5.0176	4.9231	4.2694	3.5901	3.111	4.0111	3.934	3.3806	2.1115	3.4293	3.1342	2.987	2.4242	2.2188	2.1634	1.5712	1.0762	0.5532	3.6228	3.1894	1.3981
6201	50460446	17.957	4.0247	7.1726	1.7488	0.0321	9.4542	0.2865	1.3659	0.2036	1.5227	4.5267	1.4451	4.1672	1.5385	1.4414	26.3258	7.9356	9.4461	16.0589	2.2172	0.325	2.0474	19.7673	7.3913	12.8876	2.8675	2.066	1.8602	1.6911	9.0858	8.8495	6.6133	3.8046	3.3824	2.3874	2.2567	0.9164	0.86	0.86	0.86	0.1724	0	0	0	0	0	0	0	0	0	1.4068	5.0404	4.9231	4.2822	3.777	3.1073	4.2038	4.0111	3.3432	2.0878	3.4293	3.1769	3.1342	2.6541	2.219	2.1638	1.7047	1.4833	0.7584	3.6681	3.2149	1.4253
6202	50460437	17.957	3.9903	7.1726	1.7312	0.0311	9.4542	0.2781	1.3586	0.1976	1.5215	4.5267	1.432	4.1672	1.5249	1.4326	27.9069	7.9575	9.4509	16.0599	2.2172	0.325	2.0474	19.7863	7.4053	12.8986	2.8755	2.067	1.8608	1.6974	9.118	8.8495	6.7132	3.8051	3.3824	2.4672	2.2569	0.9164	0.86	0.86	0.86	0.1724	0	0	0	0	0	0	0	0	0	1.4203	5.2839	4.9232	4.3158	3.7913	3.116	4.2058	4.0111	3.4303	2.113	3.4293	3.188	3.1342	2.7286	2.2191	2.1639	1.7158	1.4988	0.7628	3.6681	3.3038	1.4749
6203	50460451	18.9918	4.0326	7.2104	1.7407	0.0321	7.7342	0.2344	1.3749	0.2116	1.5281	4.5972	1.4457	4.4046	1.5184	1.4397	25.661	7.9735	9.3731	15.9733	2.0415	0.325	1.8952	19.9293	7.3801	12.8694	2.7627	2.0666	2.0659	1.7018	8.9998	7.6357	6.9209	3.4561	3.4231	2.4434	2.3756	0.9164	0.86	0.86	0.1724	0	0	0	0	0	0	0	0	0	0	1.3574	5.5155	5.0175	4.4142	3.599	3.247	4.0463	3.934	3.3808	2.1993	3.4703	3.1508	2.987	2.4242	2.252	2.1852	1.5857	1.1031	0.5558	3.6228	3.1894	1.5342
6204	50460452	22.8075	4.2536	7.8691	1.8289	0.0311	7.7342	0.2275	1.3934	0.2304	1.5456	5.0457	1.4549	4.784	1.5299	1.4593	26.2432	8.3297	10.004	17.5059	2.0415	0.325	1.8952	20.8306	7.5872	13.4145	2.8358	2.2324	2.066	1.7165	9.3568	8.1165	7.6357	3.8531	3.4561	2.4901	2.4426	0.9164	0.86	0.86	0.1724	0	0	0	0	0	0	0	0	0	0	1.4186	5.5666	5.0176	4.5027	3.6683	3.247	4.2204	3.934	3.8087	2.3132	3.51	3.1654	2.987	2.4243	2.3261	2.1934	1.5993	1.1652	0.5598	3.6228	3.3834	1.5571
6205	50460455	17.957	4.0749	7.1726	1.7398	0.0302	9.3342	0.2667	1.3789	0.192	1.5379	4.5267	1.4534	4.1672	1.5346	1.451	29.7636	8.0258	9.4786	16.1015	2.159	0.5698	1.9621	19.8993	7.4488	12.9492	2.9794	2.0677	1.9034	1.8579	9.8101	8.8495	6.9143	3.8575	3.3824	2.4944	2.2807	0.9164	0.86	0.86	0.8	0.1724	0	0	0	0	0	0	0	0	0	1.4209	5.365	4.9232	4.7779	3.8009	3.3932	4.2794	4.0111	3.4612	2.3344	3.4293	3.2265	3.1342	2.7841	2.2197	2.1778	1.7227	1.5065	0.7628	3.6681	3.3564	1.5593
6206	50460453	17.9574	4.1631	7.1726	1.7919	0.0353	9.4542	0.3151	1.3714	0.224	1.55	4.5267	1.4645	4.1672	1.5693	1.4528	26.3258	7.9139	9.4413	16.0589	2.2172	0.325	2.0474	19.7658	7.3555	12.8791	2.8676	2.0318	1.847	1.5427	9.0858	8.8496	6.6212	3.8046	3.3824	2.3885	2.2411	0.9164	0.86	0.86	0.86	0.1724	0	0	0	0	0	0	0	0	0	1.253	5.0403	4.9205	4.288	3.6247	2.8653	4.2038	4.0112	3.3634	1.837	3.4293	3.177	3.1342	2.6559	2.2117	2.148	1.6017	1.0528	0.293	3.6683	3.2145	1.2152
