No.	NAME	qpmax	qnmax	Qtot	Qmean	Q2	RPCG	RNCG	SPP	LDI
4565	50449210	0.1232	-0.4919	4.5026	0.0672	0.7352	0.0547	0.2185	0.6151	0.1082
4566	50449212	0.1226	-0.4919	4.4579	0.0646	0.7223	0.055	0.2207	0.6145	0.1077
4567	50449214	0.1226	-0.4919	4.765	0.0635	0.7352	0.0515	0.2065	0.6146	0.1001
4568	50449218	0.2692	-0.4919	5.072	0.0768	0.9184	0.1062	0.194	0.7612	0.1278
4569	50449211	0.1212	-0.4919	4.8251	0.0661	0.8406	0.0502	0.2039	0.6131	0.1045
4570	50449209	0.16	-0.4919	4.7594	0.0661	0.7902	0.0672	0.2067	0.6519	0.1078
4571	8960	0.1669	-0.4914	4.2533	0.0746	0.853	0.0785	0.2311	0.6583	0.1084
4572	50449219	0.1226	-0.4951	3.1502	0.0768	0.5862	0.0778	0.3143	0.6177	0.122
4573	50449209	0.16	-0.4919	4.7594	0.0661	0.7902	0.0672	0.2067	0.6519	0.1078
4574	50449212	0.1226	-0.4919	4.4579	0.0646	0.7223	0.055	0.2207	0.6145	0.1077
4575	50449214	0.1226	-0.4919	4.765	0.0635	0.7352	0.0515	0.2065	0.6146	0.1001
4576	50449210	0.1232	-0.4919	4.5026	0.0672	0.7352	0.0547	0.2185	0.6151	0.1082
4577	50449219	0.1226	-0.4951	3.1502	0.0768	0.5862	0.0778	0.3143	0.6177	0.122
4578	8960	0.1669	-0.4914	4.2533	0.0746	0.853	0.0785	0.2311	0.6583	0.1084
4579	50443514	0.3497	-0.5066	5.3331	0.0952	1.2176	0.1312	0.19	0.8564	0.1586
4580	50443516	0.3497	-0.5067	5.282	0.0943	1.2138	0.1324	0.1919	0.8565	0.1583
4581	50443519	0.3497	-0.4216	4.5639	0.083	0.8699	0.1533	0.1848	0.7714	0.1371
4582	50443520	0.3497	-0.5066	5.1156	0.1023	1.2079	0.1367	0.1981	0.8564	0.1714
4583	50443521	0.3499	-0.4914	5.1928	0.098	1.1501	0.1347	0.1893	0.8413	0.1594
4584	50443522	0.3497	-0.495	5.0919	0.0961	1.1309	0.1374	0.1944	0.8447	0.1588
4585	50443523	0.3497	-0.4216	4.6035	0.0903	0.8997	0.1519	0.1832	0.7714	0.1512
4586	50443524	0.3497	-0.4216	4.2668	0.0871	0.8532	0.1639	0.1976	0.7714	0.1476
4587	50443525	0.3497	-0.4216	4.3464	0.0887	0.8602	0.1609	0.194	0.7714	0.1476
4588	8961	0.1559	-0.3976	1.977	0.0682	0.3192	0.1577	0.4023	0.5535	0.1181
4589	50448215	0.2921	-0.5066	4.7227	0.0875	1.0938	0.1237	0.2146	0.7988	0.1529
4590	50448214	0.2921	-0.5066	6.5697	0.1133	1.7972	0.0889	0.1542	0.7988	0.1812
4591	50448216	0.2921	-0.5066	4.2379	0.0865	0.9485	0.1379	0.2391	0.7988	0.1424
4592	50448217	0.2921	-0.5066	4.8791	0.0976	1.215	0.1197	0.2077	0.7988	0.1631
4593	50448219	0.2921	-0.5066	4.3289	0.0941	0.9941	0.135	0.2341	0.7988	0.1586
4594	50448220	0.2921	-0.5066	4.1938	0.0912	0.9504	0.1393	0.2416	0.7988	0.1491
4595	31904	0.4434	-0.3984	5.6211	0.0865	1.1168	0.1164	0.22	0.8418	0.1329
4596	50443031	0.2416	-0.4523	4.1175	0.0823	0.6971	0.1174	0.2197	0.6939	0.146
4597	50443034	0.2422	-0.3016	2.8736	0.0668	0.3795	0.1686	0.2099	0.5438	0.1154
4598	50443035	0.2417	-0.3016	3.0128	0.0814	0.4768	0.1605	0.2002	0.5433	0.1463
4599	50443036	0.2444	-0.3016	2.8195	0.0762	0.4242	0.1733	0.2139	0.546	0.1368
4600	50443037	0.2416	-0.3016	2.8572	0.0733	0.4013	0.1691	0.2111	0.5432	0.135
4601	50443038	0.2416	-0.3016	2.5705	0.0695	0.3607	0.188	0.2347	0.5432	0.1301
4602	50443039	0.2416	-0.3016	2.7413	0.0741	0.4074	0.1763	0.22	0.5432	0.1389
4603	50443040	0.2416	-0.3016	2.6499	0.0662	0.3614	0.1824	0.2276	0.5432	0.1203
4604	50443041	0.2416	-0.4951	3.2916	0.0803	0.6283	0.1468	0.3008	0.7367	0.1467
4605	50443027	0.2417	-0.3016	2.5753	0.0696	0.3618	0.1877	0.2342	0.5433	0.1302
4606	50443028	0.4175	-0.3016	3.4324	0.0858	0.6137	0.2432	0.1757	0.7191	0.1715
4607	50443042	0.2417	-0.4951	3.3003	0.0805	0.6308	0.1465	0.3	0.7368	0.146
4608	50443043	0.2444	-0.3016	2.8468	0.0769	0.4245	0.1717	0.2119	0.546	0.1357
4609	50443044	0.2416	-0.3016	2.6057	0.0704	0.3632	0.1855	0.2315	0.5432	0.1276
4610	50443045	0.2169	-0.3016	2.7574	0.0689	0.369	0.1573	0.2188	0.5185	0.1206
