No.	NAME	SpMax2_Bh(m)	SpMax3_Bh(m)	SpMax4_Bh(m)	SpMax5_Bh(m)	SpMax6_Bh(m)	SpMax1_Bh(v)	SpMax2_Bh(v)	SpMax6_Bh(v)	SpMax7_Bh(v)	SpMax3_Bh(e)	SpMax4_Bh(e)	SpMax5_Bh(e)	SpMax1_Bh(p)	SpMax2_Bh(p)	SpMax1_Bh(i)	SpMax2_Bh(i)	SpMax2_Bh(s)	SpMax3_Bh(s)	SpMax4_Bh(s)	SpMax5_Bh(s)	SpMax6_Bh(s)	SpMax7_Bh(s)	SpMax8_Bh(s)	SpMin1_Bh(m)	SpMin2_Bh(m)	SpMin3_Bh(m)	SpMin4_Bh(m)	SpMin8_Bh(m)	SpMin1_Bh(v)	SpMin2_Bh(v)	SpMin5_Bh(v)	SpMin7_Bh(v)	SpMin1_Bh(e)	SpMin2_Bh(e)	SpMin3_Bh(p)	SpMin4_Bh(p)	SpMin6_Bh(p)	SpMin3_Bh(i)	SpMin8_Bh(i)	SpMin1_Bh(s)	SpMin2_Bh(s)	SpMin3_Bh(s)	SpMin4_Bh(s)	SpMin5_Bh(s)	SpMin6_Bh(s)	SpMin7_Bh(s)	SpMin8_Bh(s)
3635	50346415	3.8618	3.835	3.4752	3.3838	3.1894	4.1034	3.8203	3.0989	2.9923	3.7764	3.5799	3.4025	4.0975	3.8245	4.1882	4.0147	4.8438	4.6051	4.4209	4.2366	4.1367	3.9482	3.876	2.1653	2.12	1.871	1.8577	1.278	2.1879	2.1071	1.6269	1.4033	2.1132	1.9325	1.8488	1.7765	1.5156	1.7476	0.9367	1.5409	1.3191	1.2276	0.975	0.9741	0.7284	0.5786	0.5559
3636	50346416	3.9453	3.8524	3.7306	3.4593	3.3524	4.102	3.8299	3.1716	3.0819	3.7764	3.5986	3.5228	4.0965	3.8438	4.1844	4.0207	4.8438	4.6049	4.4088	4.2681	4.1635	3.9776	3.9223	2.1576	2.1244	1.8665	1.8581	1.3959	2.184	2.1096	1.745	1.5302	2.1121	1.9347	1.849	1.77	1.5231	1.7476	1.0645	1.5419	1.3232	1.2366	1.0809	0.9745	0.944	0.7112	0.5786
3637	50346417	3.9496	3.8531	3.7349	3.4719	3.3628	4.1022	3.8311	3.1951	3.1167	3.7764	3.6424	3.5546	4.0966	3.8458	4.185	4.0215	4.8438	4.605	4.409	4.2762	4.1705	3.995	3.9356	2.1586	2.1245	1.8734	1.8586	1.4114	2.1846	2.1098	1.7937	1.5349	2.1123	1.9349	1.8494	1.8084	1.5299	1.7476	1.0926	1.5421	1.3285	1.2439	1.186	0.9745	0.971	0.7341	0.5874
3638	50347127	3.6967	3.5538	3.4304	3.2555	3.2227	3.8992	3.7061	3.0744	3.0575	3.7199	3.596	3.4369	3.899	3.7192	3.994	3.8775	6.4693	6.4501	6.3503	4.5837	4.3549	4.1622	4.0978	2.0781	2.0325	1.9829	1.8584	1.2709	2.0445	1.9909	1.6868	1.3634	1.9367	1.8212	1.9032	1.7804	1.4739	1.6838	0.9912	1.4116	1.351	1.2428	1.0736	0.9968	0.806	0.6315	0.4717
3639	50347128	3.6968	3.5551	3.4323	3.3128	3.2573	3.905	3.7061	3.1527	3.0783	3.721	3.5976	3.4439	3.9038	3.7192	4.0007	3.8779	6.4505	4.8362	4.486	4.3765	4.3515	4.162	4.0944	2.0788	2.033	1.9845	1.8601	1.5575	2.0473	1.9918	1.6908	1.5488	1.9398	1.8215	1.9049	1.7831	1.605	1.6844	1.1085	1.4121	1.3511	1.2461	1.0789	1.0006	0.8116	0.6356	0.5819
3640	50347129	3.6749	3.5544	3.4066	3.2437	3.0359	3.8661	3.7004	3.065	2.8428	3.7163	3.5889	3.4286	3.8722	3.7182	3.9765	3.8743	4.6276	4.4253	4.1693	4.0839	3.9394	3.726	3.5423	2.0862	2.0399	1.9854	1.8835	1.2693	2.0431	1.9937	1.6758	1.3546	1.9233	1.8265	1.8956	1.7866	1.4784	1.6844	0.8393	1.4289	1.3161	1.2644	1.1207	0.9546	0.8165	0.6782	0.4671
3641	50347130	3.6751	3.5555	3.4089	3.2515	3.0878	3.8703	3.7004	3.0765	2.9596	3.7173	3.5906	3.434	3.8756	3.7183	3.9808	3.8748	4.4268	4.3859	4.1669	4.0834	3.9373	3.726	3.5461	2.0867	2.0406	1.9862	1.8848	1.4352	2.0449	1.9948	1.6799	1.5001	1.9256	1.8267	1.8969	1.7892	1.5223	1.6849	0.979	1.429	1.3166	1.265	1.1248	0.9603	0.8189	0.6832	0.5711
3642	50259927	3.6846	3.5727	3.4672	3.318	3.1341	3.8667	3.7101	3.1672	2.9937	3.7392	3.6361	3.5006	3.873	3.728	3.9786	3.8838	4.6277	4.4248	4.1743	4.1509	3.9635	3.8124	3.6845	2.0869	2.0517	2.0077	1.9116	1.3995	2.0433	2.0021	1.7472	1.4583	1.9233	1.8332	1.9209	1.8202	1.5695	1.7066	0.9356	1.4294	1.3673	1.295	1.1392	1.058	0.9328	0.7485	0.6376
3643	50292424	3.6765	3.5569	3.4092	3.249	3.2222	3.8991	3.7017	3.0733	3.0548	3.7184	3.5911	3.4303	3.899	3.7196	3.994	3.8775	6.4689	6.3504	4.5841	4.425	4.1692	4.0839	3.9379	2.0841	2.0373	1.9836	1.8825	1.2736	2.0459	1.9953	1.6766	1.3636	1.9367	1.8273	1.8978	1.7891	1.479	1.6859	0.985	1.4298	1.3188	1.2671	1.1314	0.9613	0.8176	0.6787	0.4671
3644	50347131	3.6766	3.558	3.412	3.3117	3.2505	3.9049	3.7018	3.1527	3.0764	3.7195	3.593	3.4376	3.9037	3.7196	4.0007	3.8778	4.8364	4.4863	4.4256	4.3727	4.1668	4.0834	3.9356	2.0846	2.0383	1.9847	1.8842	1.562	2.0485	1.9966	1.6813	1.5506	1.9398	1.8276	1.8992	1.792	1.6047	1.6865	1.1065	1.4301	1.3198	1.2681	1.1372	0.9677	0.8201	0.6837	0.5819
