No.	NAME	X1A	X2A	X3A	X5A	X2v	X4v	X0Av	X1Av	X3Av	X5Av	X3sol	RDCHI
5744	50234826	0.4424	0.2779	0.1804	0.0725	4.7347	2.2367	0.551	0.2756	0.0732	0.0196	8.2973	3.376
5745	50234829	0.4401	0.2773	0.18	0.0732	7.3681	3.8289	0.577	0.3073	0.0889	0.0267	10.9782	4.083
5746	50234818	0.4416	0.2765	0.1815	0.0727	7.7417	3.975	0.5865	0.3085	0.0906	0.0258	11.7972	4.2401
5747	50234830	0.4464	0.2773	0.1814	0.0741	8.1464	4.0654	0.5809	0.2982	0.0835	0.0239	13.0578	4.5096
5748	50234831	0.4499	0.2776	0.1829	0.072	6.4927	3.1761	0.5933	0.3082	0.0853	0.0221	10.4237	3.8332
5749	8960	0.4411	0.2779	0.1814	0.0745	8.0705	4.712	0.6006	0.33	0.1084	0.0368	10.5196	4.0663
5750	50197240	0.4431	0.2852	0.1821	0.0735	12.2667	6.5339	0.5877	0.3304	0.1013	0.029	16.2033	5.4004
5751	50232637	0.4448	0.2914	0.1796	0.0706	11.7879	5.6993	0.5826	0.3161	0.0926	0.0256	14.8977	5.163
5752	50232641	0.4359	0.2805	0.1795	0.0716	13.7676	7.8852	0.5878	0.3374	0.1088	0.0323	17.1806	5.5263
5753	50232638	0.4445	0.2925	0.1828	0.0725	11.803	5.6384	0.5826	0.3159	0.0941	0.0264	14.8977	5.2326
5754	50232640	0.4455	0.2919	0.1822	0.0729	12.6757	6.5246	0.6055	0.3401	0.1073	0.032	14.8977	5.178
5755	50232644	0.4475	0.2862	0.1809	0.0725	10.5067	5.3366	0.5792	0.3218	0.0943	0.0264	14.4697	4.9631
5756	50234767	0.4209	0.2593	0.1606	0.0626	7.7513	4.743	0.5493	0.2963	0.0816	0.0226	12.0466	3.9224
5757	8961	0.433	0.2713	0.1733	0.0717	4.175	2.4097	0.5775	0.3247	0.0945	0.0299	5.8919	2.7438
5758	50234773	0.4206	0.2595	0.1606	0.0619	8.6053	5.2571	0.5939	0.3138	0.0877	0.0242	13.2415	3.9449
5759	50234775	0.4201	0.2613	0.1618	0.0625	8.3815	4.946	0.5661	0.3039	0.0843	0.0234	12.4573	3.9796
5760	50234769	0.4234	0.2598	0.162	0.0625	8.2474	5.0082	0.561	0.2986	0.0823	0.0229	12.7975	4.0361
5761	50234770	0.4238	0.2582	0.1605	0.062	8.2127	5.0689	0.561	0.2987	0.0816	0.0227	12.8391	4.0026
5762	50234776	0.422	0.2634	0.1624	0.0622	8.3194	4.9756	0.5389	0.2899	0.0804	0.0226	13.1561	4.1184
5763	50234777	0.4206	0.2595	0.1606	0.0619	8.8466	5.3869	0.5982	0.3178	0.09	0.0248	13.2415	3.9449
5764	50234774	0.4201	0.2615	0.1607	0.0622	8.0258	4.8733	0.5453	0.295	0.0813	0.0226	12.0466	3.9641
5765	50234772	0.4209	0.2593	0.1606	0.0626	7.8815	4.8326	0.5538	0.3008	0.0828	0.0231	12.0466	3.9224
5766	50234768	0.4234	0.2596	0.1629	0.0624	8.2439	4.9835	0.561	0.2986	0.0826	0.0229	12.8656	4.0634
5767	50234778	0.4203	0.2598	0.1596	0.0608	8.9205	5.5429	0.5862	0.3109	0.0867	0.0239	13.6035	3.9651
5768	50234771	0.4206	0.2595	0.1606	0.0619	7.9923	4.8732	0.5453	0.2952	0.0807	0.0224	12.0466	3.9449
5769	50237228	0.4491	0.2932	0.1958	0.0853	11.5074	5.9678	0.5952	0.3362	0.1132	0.0388	14.6857	5.5963
5770	50237374	0.4471	0.2897	0.1922	0.0831	11.0524	5.8495	0.5941	0.336	0.1113	0.0379	14.2262	5.3941
5771	50237225	0.4505	0.2927	0.1953	0.0848	11.4886	5.9073	0.5917	0.3349	0.1102	0.0372	15.0358	5.7079
5772	50237223	0.4494	0.2917	0.1946	0.0844	11.1351	5.7305	0.589	0.3313	0.1083	0.0366	14.7858	5.5956
5773	50252606	0.4594	0.304	0.1978	0.0859	7.5302	3.6064	0.5873	0.3386	0.1102	0.0349	9.2969	4.369
5774	50252519	0.4467	0.2979	0.1929	0.0807	7.0405	3.4221	0.6202	0.3514	0.1163	0.0355	8.2928	3.7916
5775	50252575	0.4461	0.2926	0.1918	0.0822	7.7929	3.9863	0.5854	0.3349	0.1077	0.0341	10.1665	4.4359
