No.	NAME	P_VSA_LogP_1	P_VSA_LogP_2	P_VSA_LogP_3	P_VSA_LogP_4	P_VSA_LogP_5	P_VSA_LogP_6	P_VSA_LogP_8	P_VSA_MR_1	P_VSA_MR_2	P_VSA_MR_3	P_VSA_MR_4	P_VSA_MR_5	P_VSA_MR_6	P_VSA_MR_7	P_VSA_MR_8	P_VSA_m_2	P_VSA_m_4	P_VSA_m_5	P_VSA_e_2	P_VSA_e_3	P_VSA_e_5	P_VSA_p_2	P_VSA_p_3	P_VSA_p_4	P_VSA_i_1	P_VSA_i_2	P_VSA_i_3	P_VSA_i_4	P_VSA_s_1	P_VSA_s_3	P_VSA_s_4	P_VSA_s_5	P_VSA_s_6	P_VSA_ppp_L	P_VSA_ppp_D	P_VSA_ppp_A	P_VSA_ppp_ar	P_VSA_ppp_con	P_VSA_ppp_hal	P_VSA_ppp_cyc	P_VSA_ppp_ter	P_VSA_charge_1	P_VSA_charge_2	P_VSA_charge_3	P_VSA_charge_4	P_VSA_charge_5	P_VSA_charge_6	P_VSA_charge_7	P_VSA_charge_8	P_VSA_charge_9	P_VSA_charge_10	P_VSA_charge_11	P_VSA_charge_12	P_VSA_charge_13	P_VSA_charge_14
3940	50074273	0	16.0264	66.3337	46.5674	18.5429	2.3279	0	211.8798	47.0844	0	0	28.1981	75.0328	34.7963	0	138.0272	0	0	100.1066	37.9206	0	37.9206	100.1066	0	0	100.1066	258.9642	37.9206	0	24.7255	78.5055	18.0108	16.7855	80.3085	18.0108	19.9098	100.8658	100.8658	0	115.8051	0	21.1351	0	16.7855	0	0	49.9158	31.4185	181.2398	94.1688	2.3279	0	0	0	0
3941	50074274	8.3964	13.9207	113.715	51.3368	12.2522	2.3279	0	270.7353	47.0844	0	0	19.8018	130.8104	51.3368	0	201.949	0	0	147.4879	54.4611	0	54.4611	147.4879	0	0	147.4879	317.8198	54.4611	0	25.3765	125.2357	18.0108	33.326	127.6897	18.0108	36.4503	158.4968	158.4968	0	158.4968	8.3964	21.1351	0	0	0	33.326	97.297	37.7092	183.9635	144.01	2.3279	0	0	0	0
3942	50074276	0	16.0264	104.2387	51.3368	15.4378	2.3279	0	223.6509	70.6266	0	0	21.9075	116.1234	51.3368	0	189.3676	0	0	134.9065	54.4611	0	54.4611	134.9065	0	0	134.9065	294.2775	54.4611	0	30.6678	107.363	18.0108	33.326	121.399	18.0108	36.4503	152.2061	152.2061	0	162.0764	0	18.0108	3.1243	0	0	33.326	85.2862	35.0329	174.2981	132.2389	2.3279	0	0	0	0
3943	8960	21.7661	16.4552	66.3337	30.2784	45.1677	0	0	294.2775	94.2291	0	0	19.5796	113.2769	0	0	132.8565	0	0	129.7321	3.1243	47.1447	50.269	129.7321	0	0	129.7321	388.5067	3.1243	0	41.6323	91.2242	0	47.1447	86.0286	0	50.269	86.3773	116.6557	0	106.4501	46.911	21.9998	28.2692	0	0	0	47.3812	39.6732	193.6289	174.7904	0	15.6203	0	0	0
3944	50074278	8.8252	22.6767	37.905	51.3368	44.7388	25.8701	0	223.6509	69.0842	0	0	37.3829	57.0909	51.3368	0	145.8106	0	0	91.3495	54.4611	21.9998	76.4609	91.3495	0	0	91.3495	292.7351	54.4611	0	44.6193	49.8545	18.0108	55.3258	60.7049	18.0108	58.4501	93.1737	93.1737	0	136.763	8.8252	43.1348	0	0	0	33.326	2.5345	59.1962	207.5057	49.8412	23.5422	12.8148	6.6502	0	0
3945	50074277	0	16.0264	113.715	51.3368	12.2522	2.3279	0	247.1931	70.6266	0	0	21.9075	122.414	51.3368	0	195.6583	0	0	141.1972	54.4611	0	54.4611	141.1972	0	0	141.1972	317.8198	54.4611	0	27.4822	116.8393	18.0108	33.326	127.6897	18.0108	36.4503	158.4968	158.4968	0	170.9016	0	18.0108	3.1243	0	0	33.326	94.7625	33.9531	183.9635	144.01	2.3279	0	0	0	0
3946	50074282	0	13.4919	113.715	51.3368	12.2522	2.3279	0	235.422	58.8555	0	0	19.3729	122.414	51.3368	0	193.1237	0	0	138.6627	54.4611	0	54.4611	138.6627	0	0	138.6627	294.2775	54.4611	0	24.9477	116.8393	18.0108	33.326	125.1552	18.0108	36.4503	158.4968	158.4968	0	170.9016	0	18.0108	3.1243	0	0	33.326	94.7625	31.4185	160.4213	144.01	2.3279	0	0	0	0
3947	8961	0	10.1381	70.8022	16.7855	13.4162	0	0	141.2532	0	0	0	15.039	79.3175	16.7855	0	111.142	0	0	61.4593	49.6827	0	49.6827	61.4593	0	0	61.4593	141.2532	49.6827	0	23.5543	37.905	0	49.6827	53.8017	32.8972	16.7855	68.1067	63.3896	0	78.2448	32.8972	32.8972	16.7855	0	0	0	28.4287	22.7999	102.2553	49.2285	0	0	0	0	0
3948	50074281	8.8252	16.0264	56.8575	51.3368	12.2522	2.3279	0	223.6509	47.0844	0	0	30.7327	65.5566	51.3368	0	147.626	0	0	93.1649	54.4611	0	54.4611	93.1649	0	0	93.1649	270.7353	54.4611	0	27.4822	68.807	18.0108	33.326	79.6574	18.0108	36.4503	101.6393	101.6393	0	116.5786	8.8252	21.1351	0	0	0	33.326	49.9158	30.7675	207.5057	73.3834	0	2.3279	0	0	0
3949	50074283	0	16.0264	47.3812	79.8934	17.6852	2.3279	0	190.6656	47.0844	0	0	28.1981	52.8947	68.1223	0	151.5431	0	0	80.2965	71.2466	0	71.2466	80.2965	0	0	80.2965	235.422	71.2466	0	23.8678	59.553	18.0108	50.1115	58.1704	18.0108	53.2359	114.3816	114.3816	0	129.3209	0	21.1351	0	16.7855	0	33.326	49.9158	9.2805	172.1924	79.674	0	4.6558	0	0	0
3950	50074286	0	13.4919	104.2387	51.3368	15.4378	2.3279	0	223.6509	47.0844	0	0	19.3729	116.1234	51.3368	0	186.8331	0	0	132.372	54.4611	0	54.4611	132.372	0	0	132.372	270.7353	54.4611	0	28.1333	107.363	18.0108	33.326	118.8645	18.0108	36.4503	152.2061	152.2061	0	162.0764	0	18.0108	3.1243	0	0	33.326	85.2862	30.3927	152.8616	132.2389	2.3279	0	0	0	0
3951	50074287	0	17.6076	56.8575	62.3367	57.1326	2.3279	7.7595	211.8798	44.8803	10.9999	0	31.2482	65.5566	51.3368	0	148.1415	0	0	93.6804	54.4611	10.9999	65.461	93.6804	0	0	93.6804	222.8797	99.3414	0	29.0634	59.9818	18.0108	89.2062	63.2286	18.0108	47.4502	101.6393	101.6393	44.8803	129.1597	44.8803	29.0106	3.1243	0	44.8803	33.326	47.3812	9.4762	105.7772	129.6525	3.1856	2.3279	0	0	7.7595
3952	50074285	0	17.6076	104.2387	62.3367	15.4378	2.3279	0	270.7353	0	10.9999	0	23.4886	116.1234	51.3368	0	190.9488	0	0	136.4877	54.4611	10.9999	65.461	136.4877	0	0	136.4877	281.7352	54.4611	0	32.249	107.363	18.0108	44.3259	113.7954	18.0108	47.4502	152.2061	152.2061	0	179.7265	0	29.0106	3.1243	0	0	33.326	94.7625	12.6618	108.9628	188.508	0	2.3279	0	0	0
3953	50074284	0	20.1421	66.3337	62.3367	9.0666	2.3279	0	223.6509	23.5422	10.9999	0	26.0232	71.8472	51.3368	0	149.2072	0	0	94.7461	54.4611	10.9999	65.461	94.7461	0	0	94.7461	258.193	54.4611	0	28.4124	69.458	18.0108	44.3259	72.0538	18.0108	47.4502	107.93	107.93	0	135.4504	0	29.0106	3.1243	0	0	33.326	47.3812	21.487	129.3194	141.4236	2.3279	0	0	0	0
3954	50074288	8.8252	17.6076	47.3812	62.3367	15.7528	2.3279	39.1486	235.422	0	10.9999	0	32.3139	59.5809	90.4854	0	143.2315	39.1486	0	88.7705	54.4611	10.9999	65.461	127.9191	0	0	88.7705	285.5706	54.4611	0	32.564	59.3308	18.0108	83.4745	101.7262	18.0108	47.4502	95.6637	95.6637	39.1486	123.1841	47.9738	29.0106	3.1243	0	0	33.326	58.1011	40.4395	144.5911	117.8814	0	2.3279	0	0	0
