No.	NAME	Eta_alpha_A	Eta_epsi_A	Eta_betaS_A	Eta_beta_A	Eta_C_A	Eta_F	Eta_F_A	Eta_FL_A	Eta_B	Eta_B_A	Eta_sh_p	Eta_sh_y	Eta_sh_x	Eta_D_AlphaA	Eta_D_AlphaB	Eta_epsi_2	Eta_epsi_4	Eta_epsi_5	Eta_D_epsiB	Eta_D_epsiD	Eta_D_psiA	Eta_D_psiB	Eta_D_beta	Eta_D_beta_A
11	50262846	0.4741	0.5837	0.6296	1.2778	0.7768	26.863	0.9949	0.2681	0.5206	0.0193	0.1302	0.2969	0	0	0.0259	0.8148	0.5138	0.8148	0.0698	0	0.1322	0	0.5	0.0185
12	50262846	0.4741	0.5837	0.6296	1.2778	0.7768	26.863	0.9949	0.2681	0.5206	0.0193	0.1302	0.2969	0	0	0.0259	0.8148	0.5138	0.8148	0.0698	0	0.1322	0	0.5	0.0185
13	50262809	0.4756	0.5304	0.6442	0.9904	1.029	17.0017	0.6539	0.1784	0.5966	0.0229	0.1348	0.2992	0	0	0.0244	0.8051	0.5085	0.8051	0.0219	0	0.1232	0	-7.75	-0.2981
14	50262808	0.4767	0.5603	0.6167	1.2	0.877	27.4541	0.9151	0.2413	0.5206	0.0174	0.1166	0.2657	0	0	0.0233	0.8033	0.5041	0.8033	0.0563	0	0.1206	0	-1	-0.0333
15	50262786	0.4759	0.5492	0.6207	1.1552	0.9264	24.3896	0.841	0.2258	0.5206	0.018	0.1208	0.2754	0	0	0.0241	0.8069	0.507	0.8069	0.0421	0	0.1243	0	-2.5	-0.0862
16	50262853	0.4747	0.5358	0.65	1.01	0.9985	16.8511	0.674	0.1856	0.5966	0.0239	0.1404	0.3118	0	0	0.0253	0.8093	0.5122	0.8093	0.0236	0	0.1275	0	-7.25	-0.29
17	50362874	0.4687	0.5744	0.6591	1.1894	0.974	30.5169	0.9248	0.2418	0.7464	0.0226	0.1509	0.3427	0	0	0.0313	0.8404	0.5257	0.8404	0.0486	0	0.1563	0	-4.25	-0.1288
18	50267493	0.4659	0.5866	0.6389	1.2056	0.9879	49.2433	1.0943	0.2509	0.8827	0.0196	0.151	0.3052	0	0	0.0341	0.8541	0.533	0.842	0.0536	0.012	0.1685	0	-3.25	-0.0722
19	50267492	0.4667	0.5815	0.6359	1.1902	1.024	49.5611	1.0774	0.2451	0.8447	0.0184	0.1475	0.2981	0	0	0.0333	0.8507	0.5303	0.839	0.0512	0.0117	0.1654	0	-3.75	-0.0815
20	50267494	0.4617	0.6185	0.65	1.2875	0.866	47.1239	1.1781	0.276	0.9207	0.023	0.1625	0.3466	0	0	0.0383	0.8733	0.5493	0.846	0.0692	0.0273	0.1854	0	-0.5	-0.0125
21	50267495	0.4626	0.6111	0.6463	1.2683	0.9056	47.5832	1.1606	0.2689	0.8827	0.0215	0.1582	0.3374	0	0	0.0374	0.8691	0.5456	0.8426	0.0655	0.0265	0.1817	0	-1	-0.0244
22	50267496	0.4626	0.6111	0.6463	1.2683	0.8915	47.3976	1.156	0.2694	0.9207	0.0225	0.1582	0.3374	0	0	0.0374	0.8691	0.5456	0.8426	0.0655	0.0265	0.1817	0	-1	-0.0244
23	50267497	0.4635	0.6043	0.6429	1.25	0.9305	47.8129	1.1384	0.2626	0.8827	0.021	0.1541	0.3288	0	0	0.0365	0.8651	0.5422	0.8394	0.0621	0.0257	0.1782	0	-1.5	-0.0357
